epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,13843.3,0.56471,2.18702,0.21435,0.33684,1.03921,0.97868,0.97872,0.99155,0.91304,0.89383,0.86479,0.89315,0.7695,0.48827,1.56378,0.03776,0.2396,0.93458,0.00266532,0.00266532,0.00266532
68,14045,0.56137,2.17775,0.21262,0.33521,1.03536,0.97884,0.9788,0.99159,0.91322,0.89406,0.86479,0.89342,0.76991,0.48766,1.55977,0.03756,0.23919,0.9342,0.00253024,0.00253024,0.00253024
69,14246.6,0.55295,2.13747,0.21171,0.32969,1.03052,0.97888,0.97885,0.9919,0.91336,0.89412,0.8653,0.89366,0.77069,0.48701,1.55612,0.03741,0.23873,0.93389,0.00239766,0.00239766,0.00239766
70,14447.7,0.55248,2.12571,0.21153,0.3309,1.02932,0.97874,0.97953,0.99169,0.91369,0.89454,0.8653,0.89408,0.77134,0.48638,1.55268,0.03723,0.23812,0.93345,0.00226769,0.00226769,0.00226769
71,14649.5,0.5511,2.10143,0.21025,0.32724,1.03098,0.97884,0.97948,0.99194,0.9141,0.89558,0.86619,0.89457,0.77233,0.48567,1.54875,0.03709,0.23781,0.93291,0.00214046,0.00214046,0.00214046
72,14851.1,0.54261,2.05896,0.20842,0.32133,1.02622,0.97874,0.97963,0.99196,0.91424,0.89602,0.86643,0.89487,0.77248,0.48495,1.54581,0.03693,0.23726,0.93256,0.00201611,0.00201611,0.00201611
73,15052.2,0.547,2.08117,0.20769,0.32443,1.02899,0.9791,0.97974,0.99199,0.91445,0.89649,0.86696,0.89531,0.77315,0.48432,1.54153,0.03679,0.23689,0.9321,0.00189475,0.00189475,0.00189475
74,15253.1,0.53808,2.03449,0.20629,0.31839,1.02423,0.97899,0.97987,0.99175,0.91454,0.8976,0.868,0.8962,0.77396,0.48357,1.53725,0.03661,0.23655,0.93159,0.00177651,0.00177651,0.00177651
75,15454,0.53689,2.00672,0.20518,0.31799,1.02122,0.97903,0.97986,0.99203,0.91481,0.89829,0.86874,0.89644,0.77445,0.48284,1.53326,0.03648,0.23596,0.93108,0.00166149,0.00166149,0.00166149
76,15655.7,0.53408,1.97303,0.20296,0.31416,1.02212,0.97875,0.98021,0.99203,0.91495,0.90146,0.86759,0.89683,0.77481,0.48219,1.52945,0.03636,0.23551,0.93065,0.00154982,0.00154982,0.00154982
77,15857.6,0.53256,1.98211,0.2034,0.31658,1.02065,0.9785,0.98039,0.99182,0.91516,0.90234,0.86823,0.8972,0.77556,0.48157,1.52561,0.03618,0.23504,0.93022,0.00144161,0.00144161,0.00144161
78,16059.7,0.53244,1.98168,0.20256,0.31464,1.02271,0.97888,0.98039,0.99207,0.91534,0.90198,0.86874,0.89747,0.77637,0.48113,1.52195,0.03605,0.23482,0.92986,0.00133695,0.00133695,0.00133695
79,16261.8,0.52682,1.94575,0.20059,0.31467,1.01844,0.97898,0.98025,0.99209,0.91564,0.90155,0.86827,0.89697,0.7767,0.48066,1.5185,0.03592,0.23453,0.92952,0.00123596,0.00123596,0.00123596
80,16464.1,0.5277,1.94147,0.2014,0.31305,1.01885,0.97913,0.98038,0.9921,0.91596,0.90182,0.86852,0.89706,0.77705,0.48016,1.51529,0.03577,0.23427,0.92917,0.00113873,0.00113873,0.00113873
81,16666,0.52306,1.90069,0.2001,0.30685,1.01761,0.97901,0.98055,0.9921,0.91616,0.9016,0.86848,0.89707,0.7777,0.47958,1.51202,0.03561,0.23392,0.92873,0.00104537,0.00104537,0.00104537
82,16867,0.52461,1.90198,0.20006,0.31007,1.01669,0.97888,0.9804,0.99188,0.91642,0.90185,0.86925,0.89743,0.77841,0.47909,1.50913,0.03543,0.23362,0.92836,0.000955951,0.000955951,0.000955951
83,17069,0.52265,1.8865,0.198,0.308,1.01845,0.97937,0.98015,0.99189,0.91649,0.90203,0.86925,0.89744,0.77874,0.47841,1.50601,0.03527,0.23315,0.92783,0.000870577,0.000870577,0.000870577
84,17270.6,0.51483,1.85803,0.19732,0.30255,1.01138,0.97901,0.98059,0.99188,0.91668,0.90259,0.87023,0.8979,0.77925,0.47781,1.50232,0.03511,0.23289,0.92741,0.000789327,0.000789327,0.000789327
85,17472.7,0.51747,1.86393,0.19751,0.30618,1.0142,0.9789,0.98163,0.99191,0.9169,0.90338,0.87098,0.8994,0.7799,0.47737,1.49879,0.03498,0.23257,0.92712,0.000712282,0.000712282,0.000712282
86,17674.4,0.51257,1.83484,0.1952,0.30067,1.01148,0.97871,0.98165,0.99191,0.91701,0.90428,0.87166,0.90105,0.78073,0.47675,1.49555,0.03485,0.2324,0.92665,0.000639518,0.000639518,0.000639518
87,17876.1,0.5093,1.81344,0.19391,0.29978,1.00934,0.97842,0.98212,0.99212,0.91711,0.90432,0.87193,0.90212,0.78166,0.47626,1.49223,0.0347,0.23214,0.92625,0.000571106,0.000571106,0.000571106
88,18078,0.50923,1.81645,0.1955,0.30207,1.01325,0.97817,0.98204,0.99192,0.91729,0.90412,0.87118,0.90133,0.78158,0.47581,1.48956,0.03456,0.23171,0.9259,0.000507115,0.000507115,0.000507115
89,18279.4,0.50779,1.831,0.19579,0.30037,1.00847,0.97781,0.98256,0.99194,0.91734,0.90531,0.87129,0.90084,0.78183,0.47527,1.48694,0.03442,0.23146,0.92541,0.000447606,0.000447606,0.000447606
90,18480.8,0.50324,1.79034,0.1951,0.29479,1.00784,0.97842,0.9821,0.99218,0.91744,0.90509,0.87142,0.90075,0.78206,0.47469,1.48419,0.03425,0.23102,0.92499,0.00039264,0.00039264,0.00039264
91,18710.2,0.40144,1.32187,0.06166,0.21158,0.94422,0.97878,0.98173,0.99219,0.91756,0.9047,0.87226,0.90239,0.78285,0.474,1.48107,0.034,0.23051,0.92444,0.00034227,0.00034227,0.00034227
92,18913.8,0.39636,1.29401,0.06006,0.2071,0.94098,0.97937,0.98165,0.99219,0.91817,0.90586,0.87333,0.90305,0.78327,0.47327,1.47798,0.03375,0.2299,0.9239,0.000296546,0.000296546,0.000296546
93,19117,0.39002,1.26309,0.05889,0.2045,0.9357,0.97976,0.98094,0.99219,0.91873,0.90547,0.87399,0.90326,0.78354,0.47256,1.47472,0.03352,0.22968,0.92341,0.000255513,0.000255513,0.000255513
94,19319.9,0.38866,1.26,0.05684,0.20278,0.93613,0.97976,0.9809,0.99219,0.919,0.90648,0.87422,0.90365,0.784,0.4718,1.47123,0.03326,0.2293,0.92292,0.000219212,0.000219212,0.000219212
95,19523.5,0.38654,1.24568,0.0574,0.20319,0.93551,0.97965,0.98135,0.9922,0.91926,0.90715,0.87473,0.9041,0.78485,0.47129,1.46748,0.03301,0.22873,0.92268,0.000187678,0.000187678,0.000187678
96,19726.9,0.38591,1.23434,0.05705,0.20065,0.93522,0.9797,0.98127,0.99222,0.91942,0.90794,0.87524,0.9045,0.78522,0.47063,1.4638,0.03274,0.22822,0.92223,0.000160943,0.000160943,0.000160943
97,19930.2,0.38202,1.22599,0.05666,0.19886,0.93106,0.97902,0.98229,0.99223,0.9195,0.90835,0.87588,0.90493,0.78583,0.46995,1.46,0.03248,0.22753,0.92179,0.000139032,0.000139032,0.000139032
98,20133.3,0.37955,1.22799,0.0567,0.1982,0.93047,0.9791,0.98254,0.99225,0.91965,0.90883,0.876,0.90537,0.78661,0.46924,1.45657,0.03218,0.22719,0.92136,0.000121968,0.000121968,0.000121968
99,20336.4,0.38085,1.2249,0.05699,0.19831,0.93139,0.97892,0.9828,0.99224,0.91976,0.90935,0.87567,0.90535,0.78768,0.46863,1.45321,0.03192,0.22665,0.92092,0.000109768,0.000109768,0.000109768
100,20540.1,0.38117,1.21523,0.05524,0.19816,0.93129,0.97851,0.98305,0.99224,0.91985,0.90995,0.87549,0.90551,0.78806,0.46795,1.44976,0.03166,0.22622,0.92049,0.000102443,0.000102443,0.000102443
